order_item_id,order_id,product_id,quantity,unit_price,line_amount
1,1,112,6,229.53,1377.18
2,2,199,6,732.98,4397.88
3,3,240,5,317.05,1585.25
4,4,24,1,208.5,208.5
5,4,239,4,420.94,1683.76
6,4,156,1,64.96,64.96
7,5,32,3,646.76,1940.28
8,5,147,1,704.04,704.04
9,5,231,3,732.21,2196.63
10,6,87,4,240.64,962.56
11,6,162,2,481.2,962.4
12,6,174,3,61.59,184.77
13,6,40,3,342.23,1026.69
14,7,153,5,897.02,4485.1
15,8,13,4,372.41,1489.64
16,8,4,6,877.92,5267.52
17,8,189,2,317.55,635.1
18,8,132,1,876.17,876.17
19,8,164,5,736.47,3682.35
20,9,143,2,5.78,11.56
21,10,126,4,960.61,3842.44
22,10,66,4,375.26,1501.04
23,11,233,4,591.68,2366.72
24,12,182,1,259.43,259.43
25,12,247,1,110.61,110.61
26,13,219,6,682.09,4092.54
27,14,213,2,133.44,266.88
28,14,155,1,39.8,39.8
29,15,23,3,36.06,108.18
30,16,154,1,830.12,830.12
31,16,184,3,654.2,1962.6
32,16,49,4,840.77,3363.08
33,16,56,4,703.18,2812.72
34,17,237,6,84.37,506.22
35,17,15,4,542.36,2169.44
36,17,43,4,284.43,1137.72
37,18,236,5,362.78,1813.9
38,18,124,1,667.15,667.15
39,18,235,2,256.57,513.14
40,18,193,3,864.81,2594.43
41,19,166,4,637.83,2551.32
42,20,247,4,110.61,442.44
43,20,62,3,825.28,2475.84
44,21,241,1,945.3,945.3
45,21,192,4,127.97,511.88
46,21,86,1,375.3,375.3
47,22,102,5,201.95,1009.75
48,23,81,2,574.03,1148.06
49,23,216,4,350.83,1403.32
50,24,87,3,240.64,721.92
51,25,37,4,627.89,2511.56
52,25,15,2,542.36,1084.72
53,26,159,2,959.18,1918.36
54,26,194,2,731.08,1462.16
55,27,143,3,5.78,17.34
56,28,169,6,673.91,4043.46
57,29,97,5,685.95,3429.75
58,30,130,2,193.22,386.44
59,30,191,3,246.92,740.76
60,30,5,5,525.64,2628.2
61,30,149,2,420.84,841.68
62,31,41,4,265.09,1060.36
63,32,120,2,526.15,1052.3
64,32,173,6,984.62,5907.72
65,32,164,3,736.47,2209.41
66,32,111,4,201.27,805.08
67,33,129,5,386.74,1933.7
68,33,190,6,911.38,5468.28
69,33,134,4,619.41,2477.64
70,34,22,5,947.35,4736.75
71,35,26,5,804.78,4023.9
72,35,8,1,408.68,408.68
73,36,127,4,820.42,3281.68
74,37,129,3,386.74,1160.22
75,37,2,6,744.48,4466.88
76,37,149,1,420.84,420.84
77,38,197,1,509.24,509.24
78,38,46,1,202.72,202.72
79,39,5,2,525.64,1051.28
80,39,198,4,591.96,2367.84
81,40,244,4,168.53,674.12
82,40,88,2,248.98,497.96
83,40,45,3,56.28,168.84
84,41,78,4,809.86,3239.44
85,42,232,1,427.2,427.2
86,42,14,1,410.96,410.96
87,42,169,6,673.91,4043.46
88,42,3,5,254.8,1274.0
89,43,223,6,653.33,3919.98
90,43,68,6,130.91,785.46
91,43,60,2,675.63,1351.26
92,43,194,3,731.08,2193.24
93,44,120,5,526.15,2630.75
94,44,75,2,252.17,504.34
95,45,29,4,298.78,1195.12
96,46,49,5,840.77,4203.85
97,46,66,2,375.26,750.52
98,46,60,1,675.63,675.63
99,47,93,2,436.98,873.96
100,47,134,3,619.41,1858.23
101,48,42,5,804.95,4024.75
102,48,238,4,785.23,3140.92
103,48,60,4,675.63,2702.52
104,48,112,4,229.53,918.12
105,49,131,2,828.42,1656.84
106,49,184,1,654.2,654.2
107,50,145,1,359.65,359.65
108,51,218,4,106.52,426.08
109,51,19,5,730.69,3653.45
110,51,94,1,500.35,500.35
111,51,11,4,180.91,723.64
112,52,13,6,372.41,2234.46
113,52,139,3,581.4,1744.2
114,53,66,1,375.26,375.26
115,53,170,5,873.97,4369.85
116,53,163,3,279.26,837.78
117,53,21,2,246.5,493.0
118,54,204,6,946.56,5679.36
119,55,203,1,532.54,532.54
120,56,171,2,740.18,1480.36
121,56,65,6,864.93,5189.58
122,57,235,3,256.57,769.71
123,57,165,6,727.87,4367.22
124,58,246,2,164.16,328.32
125,59,63,5,651.88,3259.4
126,59,171,4,740.18,2960.72
127,59,156,5,64.96,324.8
128,59,99,3,467.84,1403.52
129,60,155,1,39.8,39.8
130,60,142,4,681.81,2727.24
131,61,15,1,542.36,542.36
132,61,50,2,244.64,489.28
133,61,16,1,462.6,462.6
134,62,55,4,609.75,2439.0
135,63,31,6,189.64,1137.84
136,64,68,5,130.91,654.55
137,64,146,3,816.77,2450.31
138,64,74,2,426.0,852.0
139,64,21,6,246.5,1479.0
140,65,233,4,591.68,2366.72
141,65,126,6,960.61,5763.66
142,66,187,2,271.27,542.54
143,66,167,5,674.41,3372.05
144,67,67,3,709.59,2128.77
145,68,13,3,372.41,1117.23
146,68,209,5,54.06,270.3
147,69,123,5,518.58,2592.9
148,69,212,4,942.96,3771.84
149,69,79,2,283.39,566.78
150,70,30,6,152.33,913.98
151,71,133,4,936.51,3746.04
152,71,180,6,59.17,355.02
153,71,87,1,240.64,240.64
154,72,1,2,594.95,1189.9
155,73,131,2,828.42,1656.84
156,73,29,2,298.78,597.56
157,73,101,1,550.64,550.64
158,74,159,5,959.18,4795.9
159,75,66,4,375.26,1501.04
160,75,122,2,664.63,1329.26
161,76,190,5,911.38,4556.9
162,76,154,3,830.12,2490.36
163,76,83,6,699.95,4199.7
164,77,169,5,673.91,3369.55
165,78,95,5,784.65,3923.25
166,78,70,6,618.47,3710.82
167,79,136,3,842.39,2527.17
168,79,162,4,481.2,1924.8
169,80,5,4,525.64,2102.56
170,81,74,1,426.0,426.0
171,82,83,4,699.95,2799.8
172,82,87,2,240.64,481.28
173,82,165,2,727.87,1455.74
174,83,225,3,5.23,15.69
175,84,108,4,660.36,2641.44
176,84,217,6,298.14,1788.84
177,85,110,3,273.22,819.66
178,86,16,2,462.6,925.2
179,87,107,5,792.94,3964.7
180,87,121,3,740.12,2220.36
181,87,178,5,467.98,2339.9
182,88,158,3,362.46,1087.38
183,88,80,2,706.29,1412.58
184,89,18,5,364.59,1822.95
185,89,135,4,909.27,3637.08
186,90,74,1,426.0,426.0
187,90,157,1,211.39,211.39
188,90,206,4,824.48,3297.92
189,91,111,1,201.27,201.27
190,92,176,1,566.81,566.81
191,92,62,4,825.28,3301.12
192,92,250,6,954.4,5726.4
193,93,77,3,579.52,1738.56
194,94,198,6,591.96,3551.76
195,94,28,1,932.51,932.51
196,94,160,2,424.28,848.56
197,95,53,3,293.58,880.74
198,96,65,1,864.93,864.93
199,97,209,5,54.06,270.3
200,97,41,1,265.09,265.09
201,98,64,1,356.39,356.39
202,99,246,3,164.16,492.48
203,99,53,4,293.58,1174.32
204,100,213,5,133.44,667.2
205,100,22,4,947.35,3789.4
206,100,86,5,375.3,1876.5
207,100,192,6,127.97,767.82
208,101,8,3,408.68,1226.04
209,101,95,2,784.65,1569.3
210,102,129,5,386.74,1933.7
211,102,125,5,643.37,3216.85
212,102,196,1,395.36,395.36
213,103,244,3,168.53,505.59
214,104,231,6,732.21,4393.26
215,104,163,4,279.26,1117.04
216,105,33,6,575.67,3454.02
217,105,99,3,467.84,1403.52
218,106,223,2,653.33,1306.66
219,107,240,5,317.05,1585.25
220,107,92,6,657.85,3947.1
221,107,178,3,467.98,1403.94
222,108,108,6,660.36,3962.16
223,109,107,2,792.94,1585.88
224,109,67,3,709.59,2128.77
225,110,232,5,427.2,2136.0
226,110,190,3,911.38,2734.14
227,110,195,6,254.49,1526.94
228,111,109,2,351.02,702.04
229,111,42,4,804.95,3219.8
230,112,65,2,864.93,1729.86
231,113,24,5,208.5,1042.5
232,113,221,4,672.16,2688.64
233,113,175,6,327.66,1965.96
234,113,135,3,909.27,2727.81
235,114,121,2,740.12,1480.24
236,114,91,4,321.72,1286.88
237,115,56,6,703.18,4219.08
238,115,53,1,293.58,293.58
239,115,33,3,575.67,1727.01
240,116,202,3,367.8,1103.4
241,117,173,6,984.62,5907.72
242,117,85,5,171.52,857.6
243,117,106,2,369.6,739.2
244,118,120,4,526.15,2104.6
245,119,167,2,674.41,1348.82
246,120,157,1,211.39,211.39
247,120,171,6,740.18,4441.08
248,121,65,6,864.93,5189.58
249,121,217,6,298.14,1788.84
250,122,14,3,410.96,1232.88
251,123,129,3,386.74,1160.22
252,123,186,5,315.98,1579.9
253,124,114,4,876.72,3506.88
254,125,43,2,284.43,568.86
255,125,207,4,522.6,2090.4
256,125,146,6,816.77,4900.62
257,125,69,6,364.86,2189.16
258,126,49,6,840.77,5044.62
259,126,209,3,54.06,162.18
260,126,82,4,52.23,208.92
261,126,208,4,250.26,1001.04
262,127,24,6,208.5,1251.0
263,128,246,5,164.16,820.8
264,129,199,3,732.98,2198.94
265,130,36,1,369.48,369.48
266,130,232,2,427.2,854.4
267,131,57,4,791.97,3167.88
268,132,118,6,171.52,1029.12
269,132,162,-6,481.2,-2887.2
270,132,104,6,134.64,807.84
271,133,154,2,830.12,1660.24
272,134,192,2,127.97,255.94
273,134,13,3,372.41,1117.23
274,134,129,4,386.74,1546.96
275,135,127,5,820.42,4102.1
276,135,176,1,566.81,566.81
277,135,133,1,936.51,936.51
278,136,19,5,730.69,3653.45
279,136,248,1,696.59,696.59
280,136,133,5,936.51,4682.55
281,137,147,6,704.04,4224.24
282,137,142,5,681.81,3409.05
283,138,52,1,881.38,881.38
284,139,77,6,579.52,3477.12
285,139,76,2,455.6,911.2
286,140,195,2,254.49,508.98
287,140,139,6,581.4,3488.4
288,140,108,4,660.36,2641.44
289,141,157,4,211.39,845.56
290,141,137,4,714.68,2858.72
291,141,172,6,782.05,4692.3
292,142,181,1,971.6,971.6
293,142,193,4,864.81,3459.24
294,143,27,1,558.97,558.97
295,143,131,4,828.42,3313.68
296,144,196,1,395.36,395.36
297,144,16,2,462.6,925.2
298,144,114,3,876.72,2630.16
299,144,70,1,618.47,618.47
300,145,44,3,424.98,1274.94
301,145,121,6,740.12,4440.72
302,145,97,3,685.95,2057.85
303,145,226,4,899.29,3597.16
304,146,81,2,574.03,1148.06
305,146,196,2,395.36,790.72
306,146,185,3,962.45,2887.35
307,147,94,1,500.35,500.35
308,148,20,3,690.18,2070.54
309,149,130,6,193.22,1159.32
310,149,18,5,364.59,1822.95
311,149,112,3,229.53,688.59
312,150,97,2,685.95,1371.9
313,150,219,2,682.09,1364.18
314,151,87,6,240.64,1443.84
315,152,174,6,61.59,369.54
316,152,38,4,736.58,2946.32
317,152,29,6,298.78,1792.68
318,152,172,4,782.05,3128.2
319,153,229,2,580.8,1161.6
320,153,7,2,89.56,179.12
321,154,147,2,704.04,1408.08
322,155,1,4,594.95,2379.8
323,155,62,6,825.28,4951.68
324,155,223,6,653.33,3919.98
325,156,22,3,947.35,2842.05
326,156,14,2,410.96,821.92
327,156,58,1,66.15,66.15
