order_id,customer_id,order_date,currency,total_amount,status
1,3540,2025-09-30T16:58:41.306461+00:00,GBP,1377.18,CANCELLED
2,2679,2025-05-11T12:58:41.306461+00:00,USD,4397.88,DELIVERED
3,2512,2025-04-05T15:58:41.306461+00:00,EUR,1585.25,SHIPPED
4,3976,2025-02-28T07:58:41.306461+00:00,USD,1957.22,SHIPPED
5,1043,2025-11-30T20:58:41.306461+00:00,JPY,4840.95,SHIPPED
6,2218,2025-12-06T09:58:41.306461+00:00,JPY,3136.42,PAID
7,4412,2025-09-01T13:58:41.306461+00:00,JPY,4485.1,SHIPPED
8,503,2025-08-25T21:58:41.306461+00:00,GBP,11950.78,PAID
9,33,2025-11-16T11:58:41.306461+00:00,USD,11.56,PAID
10,1059,2025-01-26T22:58:41.306461+00:00,EUR,5343.48,DELIVERED
11,1846,2025-07-28T20:58:41.306461+00:00,GBP,2366.72,PAID
12,4728,2026-01-31T18:58:41.306461+00:00,JPY,370.04,NEW
13,2087,2025-10-26T17:58:41.306461+00:00,USD,4092.54,SHIPPED
14,2360,2025-02-12T07:58:41.306461+00:00,USD,306.68,CANCELLED
15,3618,2025-10-05T19:58:41.306461+00:00,GBP,108.18,NEW
16,1532,2026-05-07T15:58:41.306461+00:00,GBP,8968.52,PAID
17,4616,2025-04-08T19:58:41.306461+00:00,EUR,3813.38,SHIPPED
18,4167,2024-09-06T21:58:41.306461+00:00,JPY,5588.62,CANCELLED
19,492,2025-11-06T17:58:41.306461+00:00,GBP,2551.32,SHIPPED
20,4519,2025-02-06T08:58:41.306461+00:00,GBP,2918.28,PAID
21,2352,2025-06-13T17:58:41.306461+00:00,JPY,1832.48,SHIPPED
22,557,2024-12-31T02:58:41.306461+00:00,JPY,1009.75,CANCELLED
23,4751,2025-04-16T13:58:41.306461+00:00,EUR,2551.38,PAID
24,4620,2026-02-01T03:58:41.306461+00:00,GBP,721.92,SHIPPED
25,1622,2026-01-29T06:58:41.306461+00:00,JPY,3596.28,CANCELLED
26,3987,2024-10-14T20:58:41.306461+00:00,USD,3380.52,PAID
27,1362,2025-05-29T12:58:41.306461+00:00,GBP,17.34,CANCELLED
28,1624,2024-11-29T23:58:41.306461+00:00,EUR,4043.46,DELIVERED
29,197,2025-03-19T21:58:41.306461+00:00,GBP,3429.75,DELIVERED
30,40,2024-11-09T17:58:41.306461+00:00,JPY,4597.08,PAID
31,1511,2024-11-09T09:58:41.306461+00:00,EUR,1060.36,DELIVERED
32,4963,2025-02-12T12:58:41.306461+00:00,GBP,9974.51,NEW
33,2444,2025-05-12T11:58:41.306461+00:00,JPY,9879.62,PAID
34,2053,2025-09-24T13:58:41.306461+00:00,GBP,4736.75,SHIPPED
35,711,2025-08-09T05:58:41.306461+00:00,EUR,4432.58,SHIPPED
36,4798,2026-01-23T17:58:41.306461+00:00,EUR,3281.68,CANCELLED
37,20,2024-07-22T08:58:41.306461+00:00,USD,6047.94,PAID
38,3236,2024-07-09T07:58:41.306461+00:00,GBP,711.96,PAID
39,4873,2025-02-01T08:58:41.306461+00:00,USD,3419.12,CANCELLED
40,113,2026-06-05T15:58:41.306461+00:00,USD,1340.92,SHIPPED
41,4181,2025-02-04T10:58:41.306461+00:00,USD,3239.44,NEW
42,4526,2026-01-25T22:58:41.306461+00:00,EUR,6155.62,CANCELLED
43,1465,2025-12-22T10:58:41.306461+00:00,USD,8249.94,PAID
44,352,2026-03-13T06:58:41.306461+00:00,JPY,3135.09,PAID
45,3165,2026-05-15T10:58:41.306461+00:00,USD,1195.12,CANCELLED
46,1112,2026-06-04T08:58:41.306461+00:00,GBP,5630.0,CANCELLED
47,3960,2025-06-30T07:58:41.306461+00:00,USD,2732.19,SHIPPED
48,2641,2026-06-08T21:58:41.306461+00:00,GBP,10786.31,NEW
49,1862,2024-08-13T23:58:41.306461+00:00,GBP,2311.04,DELIVERED
50,4874,2025-10-05T14:58:41.306461+00:00,EUR,359.65,PAID
51,2958,2026-01-01T11:58:41.306461+00:00,GBP,5303.52,DELIVERED
52,2238,2025-02-10T11:58:41.306461+00:00,JPY,3978.66,CANCELLED
53,4180,2025-11-23T17:58:41.306461+00:00,EUR,6075.89,NEW
54,1019,2025-09-04T03:58:41.306461+00:00,JPY,5679.36,NEW
55,2772,2024-11-10T01:58:41.306461+00:00,USD,532.54,NEW
56,3959,2025-02-19T12:58:41.306461+00:00,EUR,6669.94,SHIPPED
57,1329,2024-08-08T09:58:41.306461+00:00,EUR,5136.93,CANCELLED
58,1932,2025-01-12T22:58:41.306461+00:00,JPY,328.32,PAID
59,2781,2024-07-10T17:58:41.306461+00:00,GBP,7948.44,DELIVERED
60,4565,2025-05-04T16:58:41.306461+00:00,EUR,2767.04,PAID
61,2732,2025-10-23T06:58:41.306461+00:00,USD,1494.24,NEW
62,1608,2024-07-06T03:58:41.306461+00:00,JPY,2439.0,CANCELLED
63,1779,2025-02-26T12:58:41.306461+00:00,GBP,1137.84,SHIPPED
64,2380,2026-03-17T11:58:41.306461+00:00,GBP,5435.86,PAID
65,2460,2025-01-10T10:58:41.306461+00:00,USD,8130.38,DELIVERED
66,4806,2025-01-13T23:58:41.306461+00:00,JPY,3914.59,SHIPPED
67,4669,2025-06-08T06:58:41.306461+00:00,USD,2128.77,CANCELLED
68,2278,2024-11-06T08:58:41.306461+00:00,EUR,1387.53,PAID
69,211,2026-03-10T09:58:41.306461+00:00,GBP,6931.52,NEW
70,3406,2025-04-06T14:58:41.306461+00:00,JPY,913.98,CANCELLED
71,1986,2025-07-29T18:58:41.306461+00:00,EUR,4341.7,SHIPPED
72,2868,2026-02-27T10:58:41.306461+00:00,GBP,1189.9,DELIVERED
73,2084,2025-12-01T22:58:41.306461+00:00,JPY,2805.04,CANCELLED
74,3047,2025-02-22T18:58:41.306461+00:00,JPY,4795.9,DELIVERED
75,2141,2026-04-08T17:58:41.306461+00:00,USD,2830.3,CANCELLED
76,555,2025-06-13T19:58:41.306461+00:00,GBP,11246.96,DELIVERED
77,4988,2024-10-12T06:58:41.306461+00:00,GBP,3369.55,PAID
78,3560,2025-07-26T14:58:41.306461+00:00,USD,7634.07,NEW
79,1884,2025-10-12T03:58:41.306461+00:00,JPY,4451.97,DELIVERED
80,3434,2025-07-31T16:58:41.306461+00:00,JPY,2102.56,PAID
81,726,2026-01-30T01:58:41.306461+00:00,EUR,426.0,PAID
82,2829,2026-04-09T21:58:41.306461+00:00,EUR,4736.82,CANCELLED
83,3664,2025-04-09T16:58:41.306461+00:00,GBP,15.69,SHIPPED
84,1268,2025-12-19T08:58:41.306461+00:00,GBP,4430.28,SHIPPED
85,1293,2024-10-15T17:58:41.306461+00:00,GBP,819.66,CANCELLED
86,2088,2024-10-20T19:58:41.306461+00:00,EUR,925.2,NEW
87,483,2026-03-12T03:58:41.306461+00:00,USD,8524.96,PAID
88,4983,2025-05-22T15:58:41.306461+00:00,EUR,2499.96,NEW
89,4188,2026-05-20T01:58:41.306461+00:00,EUR,5460.03,PAID
90,2862,2025-11-29T16:58:41.306461+00:00,USD,3935.31,PAID
